参数,总收益率
"{'boll_window': 39, 'boll_dev': 4, 'atr_window': 22, 'risk_level': 50, 'sl_multiplier': 5.4999999999999964, 'dis_open': 8, 'interval': 2}",304.6123217
"{'boll_window': 39, 'boll_dev': 4, 'atr_window': 20, 'risk_level': 50, 'sl_multiplier': 5.4999999999999964, 'dis_open': 8, 'interval': 2}",303.3957061
"{'boll_window': 3, 'boll_dev': 2, 'atr_window': 8, 'risk_level': 50, 'sl_multiplier': 5.4999999999999964, 'dis_open': 8, 'interval': 2}",290.6113863
"{'boll_window': 39, 'boll_dev': 4, 'atr_window': 20, 'risk_level': 50, 'sl_multiplier': 5.799999999999995, 'dis_open': 8, 'interval': 2}",285.7284134
"{'boll_window': 39, 'boll_dev': 4, 'atr_window': 28, 'risk_level': 50, 'sl_multiplier': 5.799999999999995, 'dis_open': 8, 'interval': 2}",284.0805791
"{'boll_window': 39, 'boll_dev': 4, 'atr_window': 22, 'risk_level': 50, 'sl_multiplier': 5.799999999999995, 'dis_open': 8, 'interval': 2}",283.7902795
"{'boll_window': 39, 'boll_dev': 4, 'atr_window': 20, 'risk_level': 50, 'sl_multiplier': 5.399999999999997, 'dis_open': 8, 'interval': 2}",283.2059733
"{'boll_window': 39, 'boll_dev': 4, 'atr_window': 14, 'risk_level': 50, 'sl_multiplier': 5.799999999999995, 'dis_open': 8, 'interval': 2}",280.5094958
"{'boll_window': 39, 'boll_dev': 2, 'atr_window': 8, 'risk_level': 50, 'sl_multiplier': 5.399999999999997, 'dis_open': 4, 'interval': 2}",278.3253521
"{'boll_window': 3, 'boll_dev': 2, 'atr_window': 8, 'risk_level': 50, 'sl_multiplier': 5.799999999999995, 'dis_open': 8, 'interval': 2}",276.6120114
"{'boll_window': 39, 'boll_dev': 4, 'atr_window': 20, 'risk_level': 50, 'sl_multiplier': 5.799999999999995, 'dis_open': 4, 'interval': 2}",275.7350566
"{'boll_window': 39, 'boll_dev': 4, 'atr_window': 22, 'risk_level': 50, 'sl_multiplier': 5.799999999999995, 'dis_open': 4, 'interval': 2}",274.2046352
"{'boll_window': 39, 'boll_dev': 4, 'atr_window': 10, 'risk_level': 50, 'sl_multiplier': 5.399999999999997, 'dis_open': 8, 'interval': 2}",272.9164928
"{'boll_window': 39, 'boll_dev': 4, 'atr_window': 8, 'risk_level': 50, 'sl_multiplier': 5.4999999999999964, 'dis_open': 8, 'interval': 2}",265.2880551
"{'boll_window': 39, 'boll_dev': 4, 'atr_window': 10, 'risk_level': 50, 'sl_multiplier': 5.399999999999997, 'dis_open': 4, 'interval': 2}",264.9730658
"{'boll_window': 39, 'boll_dev': 4, 'atr_window': 28, 'risk_level': 50, 'sl_multiplier': 5.799999999999995, 'dis_open': 4, 'interval': 2}",263.9833049
"{'boll_window': 39, 'boll_dev': 4, 'atr_window': 28, 'risk_level': 50, 'sl_multiplier': 5.799999999999995, 'dis_open': 2, 'interval': 2}",261.7811573
"{'boll_window': 39, 'boll_dev': 4, 'atr_window': 8, 'risk_level': 50, 'sl_multiplier': 5.399999999999997, 'dis_open': 4, 'interval': 2}",255.1026982
"{'boll_window': 39, 'boll_dev': 4, 'atr_window': 8, 'risk_level': 50, 'sl_multiplier': 5.399999999999997, 'dis_open': 8, 'interval': 2}",254.5126357
"{'boll_window': 39, 'boll_dev': 4, 'atr_window': 20, 'risk_level': 50, 'sl_multiplier': 6.499999999999993, 'dis_open': 8, 'interval': 2}",252.4352636
"{'boll_window': 39, 'boll_dev': 4, 'atr_window': 28, 'risk_level': 50, 'sl_multiplier': 5.4999999999999964, 'dis_open': 8, 'interval': 2}",249.6692865
"{'boll_window': 39, 'boll_dev': 2, 'atr_window': 8, 'risk_level': 50, 'sl_multiplier': 5.399999999999997, 'dis_open': 8, 'interval': 2}",248.3911267
"{'boll_window': 39, 'boll_dev': 4, 'atr_window': 28, 'risk_level': 50, 'sl_multiplier': 6.499999999999993, 'dis_open': 8, 'interval': 2}",247.9192109
"{'boll_window': 60, 'boll_dev': 4, 'atr_window': 22, 'risk_level': 50, 'sl_multiplier': 5.4999999999999964, 'dis_open': 8, 'interval': 2}",247.1845749
"{'boll_window': 51, 'boll_dev': 4, 'atr_window': 20, 'risk_level': 50, 'sl_multiplier': 5.399999999999997, 'dis_open': 8, 'interval': 2}",246.9200901
"{'boll_window': 3, 'boll_dev': 2, 'atr_window': 8, 'risk_level': 50, 'sl_multiplier': 5.399999999999997, 'dis_open': 8, 'interval': 2}",245.685681
"{'boll_window': 51, 'boll_dev': 2, 'atr_window': 8, 'risk_level': 50, 'sl_multiplier': 5.399999999999997, 'dis_open': 8, 'interval': 2}",243.5958518
"{'boll_window': 51, 'boll_dev': 4, 'atr_window': 28, 'risk_level': 50, 'sl_multiplier': 5.799999999999995, 'dis_open': 2, 'interval': 2}",242.1580112
"{'boll_window': 51, 'boll_dev': 2, 'atr_window': 8, 'risk_level': 50, 'sl_multiplier': 4.6, 'dis_open': 10, 'interval': 2}",240.2111053
"{'boll_window': 51, 'boll_dev': 4, 'atr_window': 14, 'risk_level': 50, 'sl_multiplier': 5.799999999999995, 'dis_open': 4, 'interval': 2}",237.8112208
"{'boll_window': 39, 'boll_dev': 4, 'atr_window': 8, 'risk_level': 50, 'sl_multiplier': 6.499999999999993, 'dis_open': 8, 'interval': 2}",237.4623438
"{'boll_window': 51, 'boll_dev': 2, 'atr_window': 8, 'risk_level': 50, 'sl_multiplier': 5.4999999999999964, 'dis_open': 10, 'interval': 2}",237.3737283
"{'boll_window': 60, 'boll_dev': 4, 'atr_window': 20, 'risk_level': 50, 'sl_multiplier': 5.799999999999995, 'dis_open': 8, 'interval': 2}",234.9359421
"{'boll_window': 39, 'boll_dev': 4, 'atr_window': 10, 'risk_level': 50, 'sl_multiplier': 6.499999999999993, 'dis_open': 8, 'interval': 2}",234.8216741
"{'boll_window': 39, 'boll_dev': 4, 'atr_window': 8, 'risk_level': 50, 'sl_multiplier': 5.799999999999995, 'dis_open': 4, 'interval': 2}",234.7853596
"{'boll_window': 51, 'boll_dev': 4, 'atr_window': 28, 'risk_level': 50, 'sl_multiplier': 5.799999999999995, 'dis_open': 4, 'interval': 2}",234.5526452
"{'boll_window': 60, 'boll_dev': 4, 'atr_window': 20, 'risk_level': 50, 'sl_multiplier': 5.4999999999999964, 'dis_open': 8, 'interval': 2}",234.1205865
"{'boll_window': 39, 'boll_dev': 4, 'atr_window': 10, 'risk_level': 50, 'sl_multiplier': 5.799999999999995, 'dis_open': 8, 'interval': 2}",232.2892196
"{'boll_window': 51, 'boll_dev': 4, 'atr_window': 20, 'risk_level': 50, 'sl_multiplier': 5.799999999999995, 'dis_open': 8, 'interval': 2}",232.2669546
"{'boll_window': 3, 'boll_dev': 2, 'atr_window': 10, 'risk_level': 50, 'sl_multiplier': 5.799999999999995, 'dis_open': 8, 'interval': 2}",230.9981686
"{'boll_window': 51, 'boll_dev': 4, 'atr_window': 8, 'risk_level': 50, 'sl_multiplier': 5.399999999999997, 'dis_open': 8, 'interval': 2}",230.5898295
"{'boll_window': 39, 'boll_dev': 4, 'atr_window': 8, 'risk_level': 50, 'sl_multiplier': 5.799999999999995, 'dis_open': 8, 'interval': 2}",230.4979259
"{'boll_window': 39, 'boll_dev': 2, 'atr_window': 8, 'risk_level': 50, 'sl_multiplier': 5.4999999999999964, 'dis_open': 8, 'interval': 2}",227.9220951
"{'boll_window': 39, 'boll_dev': 4, 'atr_window': 8, 'risk_level': 50, 'sl_multiplier': 5.899999999999995, 'dis_open': 8, 'interval': 2}",226.9541789
"{'boll_window': 39, 'boll_dev': 4, 'atr_window': 8, 'risk_level': 50, 'sl_multiplier': 5.799999999999995, 'dis_open': 2, 'interval': 2}",226.658716
"{'boll_window': 60, 'boll_dev': 4, 'atr_window': 14, 'risk_level': 50, 'sl_multiplier': 5.799999999999995, 'dis_open': 8, 'interval': 2}",225.9278053
"{'boll_window': 60, 'boll_dev': 4, 'atr_window': 20, 'risk_level': 50, 'sl_multiplier': 5.799999999999995, 'dis_open': 4, 'interval': 2}",225.640671
"{'boll_window': 60, 'boll_dev': 4, 'atr_window': 20, 'risk_level': 50, 'sl_multiplier': 5.399999999999997, 'dis_open': 8, 'interval': 2}",224.8016274
"{'boll_window': 51, 'boll_dev': 2, 'atr_window': 8, 'risk_level': 50, 'sl_multiplier': 5.4999999999999964, 'dis_open': 8, 'interval': 2}",223.4212558
"{'boll_window': 51, 'boll_dev': 4, 'atr_window': 28, 'risk_level': 50, 'sl_multiplier': 5.799999999999995, 'dis_open': 8, 'interval': 2}",223.368494
"{'boll_window': 39, 'boll_dev': 4, 'atr_window': 8, 'risk_level': 50, 'sl_multiplier': 5.899999999999995, 'dis_open': 2, 'interval': 2}",221.8557551
"{'boll_window': 60, 'boll_dev': 2, 'atr_window': 8, 'risk_level': 50, 'sl_multiplier': 5.399999999999997, 'dis_open': 8, 'interval': 2}",221.063692
"{'boll_window': 60, 'boll_dev': 4, 'atr_window': 28, 'risk_level': 50, 'sl_multiplier': 5.799999999999995, 'dis_open': 4, 'interval': 2}",218.9891995
"{'boll_window': 51, 'boll_dev': 2, 'atr_window': 10, 'risk_level': 50, 'sl_multiplier': 5.399999999999997, 'dis_open': 8, 'interval': 2}",218.6510618
"{'boll_window': 3, 'boll_dev': 2, 'atr_window': 20, 'risk_level': 50, 'sl_multiplier': 5.4999999999999964, 'dis_open': 8, 'interval': 2}",218.6403909
"{'boll_window': 60, 'boll_dev': 4, 'atr_window': 28, 'risk_level': 50, 'sl_multiplier': 5.799999999999995, 'dis_open': 8, 'interval': 2}",217.2878333
"{'boll_window': 3, 'boll_dev': 2, 'atr_window': 22, 'risk_level': 50, 'sl_multiplier': 5.4999999999999964, 'dis_open': 8, 'interval': 2}",216.458084
"{'boll_window': 51, 'boll_dev': 4, 'atr_window': 8, 'risk_level': 50, 'sl_multiplier': 5.799999999999995, 'dis_open': 2, 'interval': 2}",214.57446
"{'boll_window': 51, 'boll_dev': 4, 'atr_window': 8, 'risk_level': 50, 'sl_multiplier': 5.799999999999995, 'dis_open': 4, 'interval': 2}",213.85128
"{'boll_window': 60, 'boll_dev': 4, 'atr_window': 20, 'risk_level': 50, 'sl_multiplier': 5.399999999999997, 'dis_open': 4, 'interval': 2}",213.8066317
"{'boll_window': 51, 'boll_dev': 2, 'atr_window': 14, 'risk_level': 50, 'sl_multiplier': 5.799999999999995, 'dis_open': 4, 'interval': 2}",213.2917405
"{'boll_window': 60, 'boll_dev': 2, 'atr_window': 14, 'risk_level': 50, 'sl_multiplier': 5.799999999999995, 'dis_open': 4, 'interval': 2}",212.6100126
"{'boll_window': 51, 'boll_dev': 4, 'atr_window': 8, 'risk_level': 50, 'sl_multiplier': 5.799999999999995, 'dis_open': 8, 'interval': 2}",211.6180174
"{'boll_window': 24, 'boll_dev': 2, 'atr_window': 10, 'risk_level': 50, 'sl_multiplier': 5.799999999999995, 'dis_open': 8, 'interval': 2}",211.2778235
"{'boll_window': 51, 'boll_dev': 2, 'atr_window': 8, 'risk_level': 50, 'sl_multiplier': 5.799999999999995, 'dis_open': 4, 'interval': 2}",210.1109088
"{'boll_window': 51, 'boll_dev': 2, 'atr_window': 8, 'risk_level': 50, 'sl_multiplier': 4.6, 'dis_open': 8, 'interval': 2}",210.0898825
"{'boll_window': 51, 'boll_dev': 2, 'atr_window': 14, 'risk_level': 50, 'sl_multiplier': 4.6, 'dis_open': 10, 'interval': 2}",209.7912281
"{'boll_window': 51, 'boll_dev': 4, 'atr_window': 28, 'risk_level': 50, 'sl_multiplier': 5.399999999999997, 'dis_open': 8, 'interval': 2}",209.5742512
"{'boll_window': 24, 'boll_dev': 2, 'atr_window': 14, 'risk_level': 50, 'sl_multiplier': 5.799999999999995, 'dis_open': 4, 'interval': 2}",209.3042331
"{'boll_window': 51, 'boll_dev': 2, 'atr_window': 20, 'risk_level': 50, 'sl_multiplier': 5.399999999999997, 'dis_open': 8, 'interval': 2}",208.9079992
"{'boll_window': 51, 'boll_dev': 2, 'atr_window': 14, 'risk_level': 50, 'sl_multiplier': 5.799999999999995, 'dis_open': 2, 'interval': 2}",208.6304938
"{'boll_window': 51, 'boll_dev': 2, 'atr_window': 10, 'risk_level': 50, 'sl_multiplier': 5.799999999999995, 'dis_open': 4, 'interval': 2}",207.2504315
