参数,总收益率
"{'boll_window': 30, 'boll_dev': 4, 'atr_window': 16, 'risk_level': 50, 'sl_multiplier': 5.699999999999997, 'dis_open': 10, 'interval': 2}",356.353968
"{'boll_window': 30, 'boll_dev': 4, 'atr_window': 24, 'risk_level': 50, 'sl_multiplier': 5.699999999999997, 'dis_open': 10, 'interval': 2}",329.873502
"{'boll_window': 30, 'boll_dev': 4, 'atr_window': 16, 'risk_level': 50, 'sl_multiplier': 4.999999999999999, 'dis_open': 10, 'interval': 2}",327.63352
"{'boll_window': 30, 'boll_dev': 4, 'atr_window': 16, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 10, 'interval': 2}",323.503564
"{'boll_window': 30, 'boll_dev': 2, 'atr_window': 4, 'risk_level': 50, 'sl_multiplier': 5.699999999999997, 'dis_open': 6, 'interval': 2}",316.326366
"{'boll_window': 30, 'boll_dev': 2, 'atr_window': 4, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 6, 'interval': 2}",309.331698
"{'boll_window': 30, 'boll_dev': 4, 'atr_window': 26, 'risk_level': 50, 'sl_multiplier': 5.699999999999997, 'dis_open': 10, 'interval': 2}",308.796832
"{'boll_window': 30, 'boll_dev': 4, 'atr_window': 10, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 10, 'interval': 2}",306.288392
"{'boll_window': 30, 'boll_dev': 4, 'atr_window': 8, 'risk_level': 50, 'sl_multiplier': 5.699999999999997, 'dis_open': 10, 'interval': 2}",302.332058
"{'boll_window': 30, 'boll_dev': 4, 'atr_window': 8, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 10, 'interval': 2}",302.310698
"{'boll_window': 30, 'boll_dev': 2, 'atr_window': 4, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 4, 'interval': 2}",300.116246
"{'boll_window': 30, 'boll_dev': 2, 'atr_window': 4, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 2, 'interval': 2}",297.643746
"{'boll_window': 30, 'boll_dev': 4, 'atr_window': 10, 'risk_level': 50, 'sl_multiplier': 5.699999999999997, 'dis_open': 10, 'interval': 2}",294.928558
"{'boll_window': 30, 'boll_dev': 4, 'atr_window': 24, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 10, 'interval': 2}",294.722024
"{'boll_window': 30, 'boll_dev': 4, 'atr_window': 4, 'risk_level': 50, 'sl_multiplier': 5.699999999999997, 'dis_open': 10, 'interval': 2}",291.469822
"{'boll_window': 30, 'boll_dev': 4, 'atr_window': 24, 'risk_level': 50, 'sl_multiplier': 4.999999999999999, 'dis_open': 10, 'interval': 2}",290.91009
"{'boll_window': 54, 'boll_dev': 4, 'atr_window': 16, 'risk_level': 50, 'sl_multiplier': 5.699999999999997, 'dis_open': 4, 'interval': 2}",286.097244
"{'boll_window': 30, 'boll_dev': 4, 'atr_window': 16, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 12, 'interval': 2}",285.786156
"{'boll_window': 30, 'boll_dev': 4, 'atr_window': 26, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 10, 'interval': 2}",284.99736
"{'boll_window': 30, 'boll_dev': 4, 'atr_window': 26, 'risk_level': 50, 'sl_multiplier': 4.999999999999999, 'dis_open': 10, 'interval': 2}",283.513396
"{'boll_window': 54, 'boll_dev': 4, 'atr_window': 16, 'risk_level': 50, 'sl_multiplier': 5.699999999999997, 'dis_open': 10, 'interval': 2}",282.2667
"{'boll_window': 30, 'boll_dev': 4, 'atr_window': 8, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 12, 'interval': 2}",280.745364
"{'boll_window': 30, 'boll_dev': 4, 'atr_window': 4, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 10, 'interval': 2}",280.601762
"{'boll_window': 54, 'boll_dev': 4, 'atr_window': 16, 'risk_level': 50, 'sl_multiplier': 5.699999999999997, 'dis_open': 2, 'interval': 2}",280.223454
"{'boll_window': 54, 'boll_dev': 4, 'atr_window': 26, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 2, 'interval': 2}",273.299554
"{'boll_window': 54, 'boll_dev': 4, 'atr_window': 24, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 2, 'interval': 2}",273.248952
"{'boll_window': 54, 'boll_dev': 4, 'atr_window': 26, 'risk_level': 50, 'sl_multiplier': 5.699999999999997, 'dis_open': 2, 'interval': 2}",270.068158
"{'boll_window': 54, 'boll_dev': 4, 'atr_window': 16, 'risk_level': 50, 'sl_multiplier': 5.699999999999997, 'dis_open': 6, 'interval': 2}",268.285286
"{'boll_window': 54, 'boll_dev': 4, 'atr_window': 24, 'risk_level': 50, 'sl_multiplier': 5.699999999999997, 'dis_open': 2, 'interval': 2}",268.025584
"{'boll_window': 54, 'boll_dev': 4, 'atr_window': 22, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 2, 'interval': 2}",267.498246
"{'boll_window': 30, 'boll_dev': 4, 'atr_window': 16, 'risk_level': 50, 'sl_multiplier': 5.699999999999997, 'dis_open': 6, 'interval': 2}",267.212138
"{'boll_window': 30, 'boll_dev': 2, 'atr_window': 10, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 2, 'interval': 2}",261.352602
"{'boll_window': 27, 'boll_dev': 4, 'atr_window': 16, 'risk_level': 50, 'sl_multiplier': 5.699999999999997, 'dis_open': 10, 'interval': 2}",258.297774
"{'boll_window': 54, 'boll_dev': 4, 'atr_window': 16, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 2, 'interval': 2}",256.231208
"{'boll_window': 54, 'boll_dev': 4, 'atr_window': 10, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 2, 'interval': 2}",256.013372
"{'boll_window': 54, 'boll_dev': 4, 'atr_window': 26, 'risk_level': 50, 'sl_multiplier': 5.699999999999997, 'dis_open': 6, 'interval': 2}",255.996912
"{'boll_window': 30, 'boll_dev': 4, 'atr_window': 8, 'risk_level': 50, 'sl_multiplier': 4.999999999999999, 'dis_open': 10, 'interval': 2}",255.185072
"{'boll_window': 54, 'boll_dev': 4, 'atr_window': 24, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 6, 'interval': 2}",253.597168
"{'boll_window': 54, 'boll_dev': 4, 'atr_window': 24, 'risk_level': 50, 'sl_multiplier': 5.699999999999997, 'dis_open': 6, 'interval': 2}",253.540202
"{'boll_window': 54, 'boll_dev': 4, 'atr_window': 24, 'risk_level': 50, 'sl_multiplier': 5.699999999999997, 'dis_open': 10, 'interval': 2}",253.011878
"{'boll_window': 54, 'boll_dev': 4, 'atr_window': 16, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 10, 'interval': 2}",250.902292
"{'boll_window': 54, 'boll_dev': 2, 'atr_window': 16, 'risk_level': 50, 'sl_multiplier': 5.699999999999997, 'dis_open': 10, 'interval': 2}",250.866098
"{'boll_window': 27, 'boll_dev': 4, 'atr_window': 24, 'risk_level': 50, 'sl_multiplier': 5.699999999999997, 'dis_open': 10, 'interval': 2}",249.927938
"{'boll_window': 54, 'boll_dev': 4, 'atr_window': 26, 'risk_level': 50, 'sl_multiplier': 5.699999999999997, 'dis_open': 10, 'interval': 2}",248.968618
"{'boll_window': 30, 'boll_dev': 4, 'atr_window': 24, 'risk_level': 50, 'sl_multiplier': 5.699999999999997, 'dis_open': 6, 'interval': 2}",247.428568
"{'boll_window': 54, 'boll_dev': 4, 'atr_window': 24, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 10, 'interval': 2}",247.412198
"{'boll_window': 9, 'boll_dev': 2, 'atr_window': 16, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 2, 'interval': 2}",247.00348
"{'boll_window': 30, 'boll_dev': 2, 'atr_window': 4, 'risk_level': 50, 'sl_multiplier': 5.699999999999997, 'dis_open': 10, 'interval': 2}",244.00143
"{'boll_window': 54, 'boll_dev': 4, 'atr_window': 16, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 6, 'interval': 2}",243.83301
"{'boll_window': 54, 'boll_dev': 4, 'atr_window': 26, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 10, 'interval': 2}",243.014576
"{'boll_window': 54, 'boll_dev': 4, 'atr_window': 8, 'risk_level': 50, 'sl_multiplier': 5.699999999999997, 'dis_open': 6, 'interval': 2}",242.776902
"{'boll_window': 54, 'boll_dev': 4, 'atr_window': 22, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 10, 'interval': 2}",239.935878
"{'boll_window': 27, 'boll_dev': 4, 'atr_window': 16, 'risk_level': 50, 'sl_multiplier': 5.999999999999996, 'dis_open': 10, 'interval': 2}",238.381342
