2021-08-04 08:45:05,580  INFO: 主引擎创建成功
2021-08-04 08:45:05,582  INFO: 注册日志事件监听
2021-08-04 08:45:05,582  INFO: 连接CTP接口
2021-08-04 08:45:05,681  INFO: 行情服务器连接成功
2021-08-04 08:45:05,715  INFO: 行情服务器登录成功
2021-08-04 08:45:05,789  INFO: 交易服务器连接成功
2021-08-04 08:45:06,046  INFO: 交易服务器授权验证成功
2021-08-04 08:45:06,106  INFO: 交易服务器登录成功
2021-08-04 08:45:06,208  INFO: 结算信息确认成功
2021-08-04 08:45:10,947  INFO: 合约信息查询成功
2021-08-04 08:45:16,353  INFO: RQData数据接口初始化成功
2021-08-04 08:45:16,923  INFO: CTA策略引擎初始化成功
2021-08-04 08:45:16,939  INFO: CTA引擎初始化完成
2021-08-04 08:45:16,950  INFO: papertest1开始执行初始化
2021-08-04 08:45:16,963  INFO: [papertest1]  策略初始化
2021-08-04 08:45:17,375  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:10:33:00
2021-08-04 08:45:17,376  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:8.450943200263065, trading_size:5
2021-08-04 08:45:17,377  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:5
2021-08-04 08:45:17,378  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:10:35:00
2021-08-04 08:45:17,380  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:8.663407575050282, trading_size:5
2021-08-04 08:45:17,381  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:5
2021-08-04 08:45:17,382  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:10:37:00
2021-08-04 08:45:17,384  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:8.524772370958955, trading_size:5
2021-08-04 08:45:17,386  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:5
2021-08-04 08:45:17,389  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:10:39:00
2021-08-04 08:45:17,391  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:8.48091599685238, trading_size:5
2021-08-04 08:45:17,396  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:5
2021-08-04 08:45:17,398  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:10:41:00
2021-08-04 08:45:17,400  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:8.440395590753566, trading_size:5
2021-08-04 08:45:17,402  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:10:43:00
2021-08-04 08:45:17,405  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:8.32030174387782, trading_size:6
2021-08-04 08:45:17,409  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:10:45:00
2021-08-04 08:45:17,412  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:8.376914615348577, trading_size:5
2021-08-04 08:45:17,417  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:10:47:00
2021-08-04 08:45:17,423  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:8.011784957453933, trading_size:6
2021-08-04 08:45:17,426  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:10:49:00
2021-08-04 08:45:17,428  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:7.927437313225915, trading_size:6
2021-08-04 08:45:17,431  INFO: [papertest1]  on_xmin_bar, buy_svt:[], volume:6
2021-08-04 08:45:17,433  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:10:51:00
2021-08-04 08:45:17,435  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:7.766602663078056, trading_size:6
2021-08-04 08:45:17,436  INFO: [papertest1]  on_xmin_bar, buy_svt:[], volume:6
2021-08-04 08:45:17,440  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:10:53:00
2021-08-04 08:45:17,445  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:7.619400099424598, trading_size:6
2021-08-04 08:45:17,451  INFO: [papertest1]  on_xmin_bar, buy_svt:[], volume:6
2021-08-04 08:45:17,468  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:10:55:00
2021-08-04 08:45:17,469  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:7.234260285732179, trading_size:6
2021-08-04 08:45:17,470  INFO: [papertest1]  on_xmin_bar, buy_svt:[], volume:6
2021-08-04 08:45:17,471  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:10:57:00
2021-08-04 08:45:17,472  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:6.964785151297733, trading_size:7
2021-08-04 08:45:17,473  INFO: [papertest1]  on_xmin_bar, buy_svt:[], volume:6
2021-08-04 08:45:17,474  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:10:59:00
2021-08-04 08:45:17,474  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:7.21776269683206, trading_size:6
2021-08-04 08:45:17,475  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:6
2021-08-04 08:45:17,476  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:11:01:00
2021-08-04 08:45:17,477  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:7.532988532337769, trading_size:6
2021-08-04 08:45:17,478  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:11:03:00
2021-08-04 08:45:17,479  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:7.321813042556484, trading_size:6
2021-08-04 08:45:17,479  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:11:05:00
2021-08-04 08:45:17,480  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:7.21161539963354, trading_size:6
