2021-08-03 00:36:45,651  INFO: 主引擎创建成功
2021-08-03 00:36:45,652  INFO: 注册日志事件监听
2021-08-03 00:36:45,652  INFO: 连接CTP接口
2021-08-03 00:36:45,746  INFO: 行情服务器连接成功
2021-08-03 00:36:45,778  INFO: 行情服务器登录成功
2021-08-03 00:36:45,830  INFO: 交易服务器连接成功
2021-08-03 00:36:46,039  INFO: 交易服务器授权验证成功
2021-08-03 00:36:46,096  INFO: 交易服务器登录成功
2021-08-03 00:36:46,198  INFO: 结算信息确认成功
2021-08-03 00:36:51,732  INFO: 合约信息查询成功
2021-08-03 00:36:56,452  INFO: RQData数据接口初始化成功
2021-08-03 00:36:57,051  INFO: CTA策略引擎初始化成功
2021-08-03 00:36:57,061  INFO: CTA引擎初始化完成
2021-08-03 00:36:57,074  INFO: papertest1开始执行初始化
2021-08-03 00:36:57,124  INFO: [papertest1]  策略初始化
2021-08-03 00:36:57,737  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:10:33:00
2021-08-03 00:36:57,739  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:8.450943200263065, trading_size:5
2021-08-03 00:36:57,742  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:5
2021-08-03 00:36:57,744  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:10:35:00
2021-08-03 00:36:57,746  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:8.663407575050282, trading_size:5
2021-08-03 00:36:57,747  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:5
2021-08-03 00:36:57,748  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:10:37:00
2021-08-03 00:36:57,750  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:8.524772370958955, trading_size:5
2021-08-03 00:36:57,751  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:5
2021-08-03 00:36:57,765  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:10:39:00
2021-08-03 00:36:57,767  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:8.48091599685238, trading_size:5
2021-08-03 00:36:57,770  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:5
2021-08-03 00:36:57,771  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:10:41:00
2021-08-03 00:36:57,774  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:8.440395590753566, trading_size:5
2021-08-03 00:36:57,777  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:10:43:00
2021-08-03 00:36:57,779  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:8.32030174387782, trading_size:6
2021-08-03 00:36:57,781  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:10:45:00
2021-08-03 00:36:57,796  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:8.376914615348577, trading_size:5
2021-08-03 00:36:57,798  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:10:47:00
2021-08-03 00:36:57,800  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:8.011784957453933, trading_size:6
2021-08-03 00:36:57,802  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:10:49:00
2021-08-03 00:36:57,804  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:7.927437313225915, trading_size:6
2021-08-03 00:36:57,805  INFO: [papertest1]  on_xmin_bar, buy_svt:[], volume:6
2021-08-03 00:36:57,807  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:10:51:00
2021-08-03 00:36:57,808  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:7.766602663078056, trading_size:6
2021-08-03 00:36:57,810  INFO: [papertest1]  on_xmin_bar, buy_svt:[], volume:6
2021-08-03 00:36:57,812  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:10:53:00
2021-08-03 00:36:57,823  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:7.619400099424598, trading_size:6
2021-08-03 00:36:57,825  INFO: [papertest1]  on_xmin_bar, buy_svt:[], volume:6
2021-08-03 00:36:57,827  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:10:55:00
2021-08-03 00:36:57,831  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:7.234260285732179, trading_size:6
2021-08-03 00:36:57,833  INFO: [papertest1]  on_xmin_bar, buy_svt:[], volume:6
2021-08-03 00:36:57,834  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:10:57:00
2021-08-03 00:36:57,836  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:6.964785151297733, trading_size:7
2021-08-03 00:36:57,841  INFO: [papertest1]  on_xmin_bar, buy_svt:[], volume:6
2021-08-03 00:36:57,842  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:10:59:00
2021-08-03 00:36:57,844  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:7.21776269683206, trading_size:6
2021-08-03 00:36:57,847  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:6
2021-08-03 00:36:57,848  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:11:01:00
2021-08-03 00:36:57,850  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:7.532988532337769, trading_size:6
2021-08-03 00:36:57,851  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:11:03:00
2021-08-03 00:36:57,853  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:7.321813042556484, trading_size:6
2021-08-03 00:36:57,854  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:11:05:00
2021-08-03 00:36:57,855  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:7.21161539963354, trading_size:6
2021-08-03 00:36:57,857  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:11:07:00
2021-08-03 00:36:57,858  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:7.1105973123867505, trading_size:7
2021-08-03 00:36:57,859  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:11:09:00
2021-08-03 00:36:57,860  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:6.934753596596231, trading_size:7
2021-08-03 00:36:57,861  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:6
2021-08-03 00:36:57,862  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:11:11:00
2021-08-03 00:36:57,863  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:6.940108428495695, trading_size:7
2021-08-03 00:36:57,864  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:11:13:00
2021-08-03 00:36:57,865  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:7.111805453029433, trading_size:7
2021-08-03 00:36:57,866  INFO: [papertest1]  on_xmin_bar, buy_svt:[], volume:6
2021-08-03 00:36:57,868  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:11:15:00
2021-08-03 00:36:57,869  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:7.185911196129354, trading_size:6
2021-08-03 00:36:57,870  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:11:17:00
2021-08-03 00:36:57,871  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:9.08695991992525, trading_size:5
2021-08-03 00:36:57,872  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:5
2021-08-03 00:36:57,873  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:11:19:00
2021-08-03 00:36:57,875  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:9.496412157705, trading_size:5
2021-08-03 00:36:57,876  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:5
2021-08-03 00:36:57,877  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:11:21:00
2021-08-03 00:36:57,878  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:9.538449435911483, trading_size:5
2021-08-03 00:36:57,879  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:5
2021-08-03 00:36:57,880  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:11:23:00
2021-08-03 00:36:57,881  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:9.660309778465907, trading_size:5
2021-08-03 00:36:57,882  INFO: [papertest1]  on_xmin_bar, short_svt:[], volume:5
2021-08-03 00:36:57,882  INFO: [papertest1]  on_xmin_bar, self.pos:0, on_bar_time:11:25:00
2021-08-03 00:36:57,883  INFO: [papertest1]  on_xmin_bar, risk_level:50, atr_value:9.855341263339268, trading_size:5
