symbol,exchange,datetime,open,high,low,close,volume,open_interest
IF2009,CFFEX,2020-02-03 09:30:00,3658.0,3673.0,3620.0,3656.8,143.0,3276.0
IF2009,CFFEX,2020-02-03 09:31:00,3656.6,3659.8,3643.2,3659.8,42.0,3278.0
IF2009,CFFEX,2020-02-03 09:32:00,3659.8,3659.8,3650.2,3652.0,24.0,3278.0
IF2009,CFFEX,2020-02-03 09:33:00,3652.0,3660.0,3650.2,3655.6,36.0,3280.0
IF2009,CFFEX,2020-02-03 09:34:00,3673.4,3683.2,3671.0,3683.0,39.0,3305.0
IF2009,CFFEX,2020-02-03 09:35:00,3683.2,3685.8,3677.8,3678.8,36.0,3315.0
IF2009,CFFEX,2020-02-03 09:36:00,3678.8,3680.0,3660.6,3661.0,37.0,3340.0
IF2009,CFFEX,2020-02-03 09:37:00,3661.0,3665.8,3655.6,3659.0,31.0,3356.0
IF2009,CFFEX,2020-02-03 09:38:00,3659.0,3663.4,3658.2,3659.2,12.0,3365.0
IF2009,CFFEX,2020-02-03 09:39:00,3659.2,3665.0,3659.2,3662.2,14.0,3372.0
IF2009,CFFEX,2020-02-03 09:40:00,3662.2,3669.0,3660.0,3666.8,44.0,3399.0
IF2009,CFFEX,2020-02-03 09:41:00,3666.8,3673.6,3662.0,3673.4,33.0,3414.0
IF2009,CFFEX,2020-02-03 09:42:00,3673.4,3684.4,3673.4,3684.4,40.0,3419.0
IF2009,CFFEX,2020-02-03 09:43:00,3684.4,3703.0,3684.4,3703.0,28.0,3421.0
IF2009,CFFEX,2020-02-03 09:44:00,3702.4,3704.2,3701.0,3701.0,16.0,3427.0
IF2009,CFFEX,2020-02-03 09:45:00,3701.0,3718.0,3701.0,3706.0,62.0,3470.0
IF2009,CFFEX,2020-02-03 09:46:00,3706.0,3706.0,3680.4,3680.4,34.0,3493.0
IF2009,CFFEX,2020-02-03 09:47:00,3680.4,3693.6,3680.4,3693.6,13.0,3499.0
IF2009,CFFEX,2020-02-03 09:48:00,3693.6,3701.4,3693.4,3700.0,15.0,3496.0
IF2009,CFFEX,2020-02-03 09:49:00,3700.0,3709.8,3700.0,3709.8,8.0,3500.0
IF2009,CFFEX,2020-02-03 09:50:00,3709.8,3709.8,3702.0,3702.0,7.0,3503.0
IF2009,CFFEX,2020-02-03 09:51:00,3702.0,3702.0,3697.2,3698.2,15.0,3506.0
IF2009,CFFEX,2020-02-03 09:52:00,3698.2,3698.2,3690.2,3693.0,37.0,3531.0
IF2009,CFFEX,2020-02-03 09:53:00,3693.0,3696.8,3691.2,3693.4,53.0,3561.0
IF2009,CFFEX,2020-02-03 09:54:00,3691.8,3698.0,3690.0,3690.2,46.0,3594.0
IF2009,CFFEX,2020-02-03 09:55:00,3690.2,3695.0,3690.0,3695.0,28.0,3616.0
IF2009,CFFEX,2020-02-03 09:56:00,3695.0,3704.8,3695.0,3704.8,20.0,3631.0
IF2009,CFFEX,2020-02-03 09:57:00,3704.8,3704.8,3692.8,3701.0,30.0,3650.0
